#Term	Mutual Info	Includes Fn Words	Result
崔嵬	10.898972057367404	0	1
兕觥	8.898972057367406	0	1
荇菜	10.31400955664625	0	1
琴瑟	11.898972057367406	0	1
灌木	11.898972057367406	0	1
雎鳩	7.577043962480043	0	1
虺隤	9.898972057367406	0	1
云何	8.898972057367406	0	1
師氏	9.31400955664625	0	1
父母	9.483934558088562	0	1
采采	7.729047055925093	0	0
窈窕	9.31400955664625	0	1
玄黃	9.577043962480044	0	1
卷耳	9.091617135309802	0	1
淑女	8.43954043873011	0	1
君子	8.43954043873011	0	1
金罍	10.898972057367404	0	1
周行	8.729047055925093	0	1
頃筐	9.577043962480044	0	1
萋萋	8.898972057367406	0	1
鐘鼓	11.898972057367406	0	1
左右	10.31400955664625	0	1
關雎	8.43954043873011	0	1
不盈	6.6510445439238195	1	1
高岡	9.577043962480044	0	1
歸寧	8.992081461758888	0	1
關關	4.980108820092811	0	1
寤寐	10.898972057367404	0	1
喈喈	8.898972057367406	0	1
參差	10.31400955664625	0	1
